Place,Agency,Population 2015,Homicide 2015,Rape 2015,Robbery 2015,Aggravated assault 2015,Burglary 2015,Theft 2015,Motor theft 2015,Arson 2015,Cannabis 2015,Controlled substance 2015,Drug paraphernalia 2015,Hypodermic needle 2015,Methamphetamine 2015,Total drug crime 2015,Population 2014,Homicide 2014,Rape 2014,Robbery 2014,Aggravated assault 2014,Burglary 2014,Theft 2014,Motor theft 2014,Arson 2014,Cannabis 2014,Controlled substance 2014,Drug paraphernalia 2014,Hypodermic needle 2014,Methamphetamine 2014,Total drug crime 2014,Avg Commute Time,Diversity Index,Time to Loop - Car,Time to Loop - Transit,Time to Midway - Car,Time to Midway - Transit,Time to O'Hare - Car,Time to O'Hare - Transit
"Addison village, Illinois",ADDISON PD,37370,0,24,19,41,92,605,29,2,92,51,40,3,0,186,37480,0,12,11,42,89,505,18,1,97,37,27,4,1,166,26.199020720128978,1.0130786275223453,32,113,33,130,17,139
"Algonquin village, Illinois",ALGONQUIN PD (MCA),30497,0,6,1,16,25,376,5,14,29,7,41,1,0,78,30566,0,1,3,14,29,413,5,7,22,6,22,0,0,50,37.30595327807084,0.619292234452411,62,140,66,157,37,131
"Alsip village, Illinois",ALSIP PD,19462,1,0,27,1,81,439,44,2,17,10,6,0,0,33,19493,0,1,16,3,93,409,59,4,19,7,3,0,0,29,30.73575072078066,1.0295229690191174,37,73,22,33,29,124
"Antioch village, Illinois",ANTIOCH PD,14398,0,4,2,7,20,152,6,1,69,19,65,2,0,155,14398,0,2,1,13,21,198,6,2,71,23,81,3,0,178,36.875663381349504,0.577479199550408,66,117,74,141,43,98
"Arlington Heights village, Illinois",ARLINGTON HEIGHTS PD,76241,1,6,15,20,78,560,10,7,78,25,57,0,0,160,76200,0,4,12,27,134,588,21,1,90,21,76,0,0,187,29.3893076298019,0.6066893664787546,44,81,48,96,19,53
"Aurora city, Illinois",AURORA PD (MCA),207293,9,60,130,451,471,2458,160,12,668,180,240,11,4,1103,206610,8,43,108,399,509,2356,117,19,644,204,318,6,2,1174,29.19987651549169,1.1800031484153628,52,102,50,97,40,142
"Bannockburn village, Illinois",BANNOCKBURN PD,1573,0,0,0,0,0,17,0,0,8,1,4,0,0,13,1575,0,0,0,0,0,10,0,0,12,1,6,0,0,19,19.330543933054393,0.7240437380034161,42,,50,,19,
"Barrington Hills village, Illinois",BARRINGTON HILLS PD (MCA),4408,0,0,0,0,1,27,0,0,7,1,6,0,0,14,4376,0,0,0,0,5,14,0,0,4,0,2,0,0,6,36.476351351351354,0.3705490229743347,54,,58,,30,
"Barrington village, Illinois",BARRINGTON PD (MCA),5692,0,2,0,0,3,26,2,1,7,1,11,0,0,19,5688,0,2,0,0,7,43,2,0,21,1,5,1,0,28,33.116790064485315,0.504748261281737,54,95,58,110,30,67
"Bartlett village, Illinois",BARTLETT PD (MCA),41726,0,3,4,19,10,173,8,1,62,17,20,0,0,99,41785,1,1,3,9,15,216,5,6,81,18,23,0,0,122,34.39848514656699,0.8682776466625681,46,86,47,110,29,72
"Batavia city, Illinois",BATAVIA PD,26485,0,4,7,17,21,323,5,3,36,6,45,0,0,87,26445,0,6,5,25,24,347,3,8,47,10,41,1,0,99,28.877249303032862,0.4626811870771051,52,154,50,130,40,190
"Beach Park village, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.338154469192943,1.1079075709574173,66,153,73,180,41,178
"Bedford Park village, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.926573426573427,0.6720329970485212,34,46,12,12,36,95
"Beecher village, Illinois",BEECHER PD,4483,0,0,1,4,13,45,1,1,19,2,7,0,0,28,4470,0,0,0,3,3,38,5,0,13,1,10,0,0,24,31.414087513340448,0.4757625293029017,52,,54,,61,
"Bellwood village, Illinois",BELLWOOD PD,19170,0,12,35,49,79,259,46,0,38,13,18,1,0,70,19181,2,6,22,85,106,287,41,2,88,37,20,1,0,146,30.86869636769719,0.7626681133303396,24,54,27,85,14,67
"Bensenville village, Illinois",BENSENVILLE PD,18518,0,6,5,7,31,173,19,0,43,21,37,0,0,101,18577,1,6,5,7,31,173,19,0,43,21,37,0,0,101,27.83306055646481,0.9761241669456818,36,63,37,76,13,50
"Berkeley village, Illinois",BERKELEY PD,5235,0,1,8,8,15,72,6,0,54,4,23,0,0,81,5243,1,3,3,10,12,63,3,2,35,2,23,0,0,60,28.2835201328352,1.2969003493508824,26,76,28,93,13,73
"Berwyn city, Illinois",BERWYN PD,56697,2,12,41,69,277,877,96,11,312,94,34,0,0,440,56778,0,11,57,59,262,822,79,5,180,69,34,0,0,283,29.96419231542949,0.9839929957852034,22,52,21,46,25,90
"Big Rock village, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.78171641791045,0.19856773787915022,58,,56,,45,
"Bloomingdale village, Illinois",BLOOMINGDALE PD,22353,0,1,1,3,14,197,2,3,116,13,80,0,0,209,22412,1,5,3,7,35,525,6,0,158,21,97,0,0,276,28.31183192038334,0.8075625401731003,38,112,39,130,22,138
"Blue Island city, Illinois",BLUE ISLAND PD,23800,,,,,,,,,,,,,,,23811,1,12,54,69,147,430,60,3,44,19,11,0,0,74,29.13341913341913,1.1101726169988224,30,51,32,65,38,100
"Bolingbrook village, Illinois",BOLINGBROOK PD (MCA),74356,2,24,22,88,79,866,46,1,279,96,246,0,4,625,74049,0,17,46,93,95,854,37,10,315,84,234,1,2,636,32.49023635259062,1.2988919210315366,40,70,28,94,32,117
"Braceville village, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.592391304347824,0.34915766422630834,72,,60,,64,
"Braidwood city, Illinois",BRAIDWOOD PD,6169,0,0,2,3,15,75,5,0,14,29,17,2,1,63,6143,0,2,0,5,24,63,0,3,35,16,27,7,0,85,31.52934936350778,0.16831545001850085,71,,58,,62,
"Bridgeview village, Illinois",BRIDGEVIEW PD,16499,0,3,18,27,36,346,21,2,132,36,31,0,0,199,16474,0,1,6,21,42,389,44,4,72,34,26,0,1,133,29.60901207804274,0.8076820911056047,32,63,15,23,29,109
"Broadview village, Illinois",BROADVIEW PD,7965,0,5,13,7,34,265,18,2,97,21,15,0,0,133,7980,1,2,15,12,34,327,28,0,94,44,18,0,0,156,24.518054746651135,0.9088060514600712,21,50,25,79,17,64
"Brookfield village, Illinois",BROOKFIELD PD,19033,0,8,4,16,42,152,19,1,49,8,43,0,0,100,19052,0,7,4,18,52,162,6,2,95,12,72,0,0,179,29.050400173047805,0.6829404582308607,30,67,18,54,24,71
"Buffalo Grove village, Illinois",BUFFALO GROVE PD (MCA),41760,0,0,0,2,54,176,7,0,90,26,76,0,0,192,41840,0,3,2,5,41,248,2,1,56,23,41,0,0,120,29.502378509467402,0.7396338306762008,47,80,53,104,22,61
"Bull Valley village, Illinois",BULL VALLEY PD,1103,,,,,,,,,,,,,,,1108,0,0,0,1,0,2,0,0,56,2,28,1,0,87,37.62312633832976,0.475432852954668,85,,87,,60,
"Burbank city, Illinois",BURBANK PD,29287,0,5,11,31,65,251,27,1,76,29,8,0,2,115,29276,0,5,10,29,73,309,19,0,35,36,19,0,1,91,31.033124296510692,0.8377512314015401,35,44,9,10,33,93
"Burlington village, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.569767441860463,0.0388124237051986,70,,71,,45,
"Burnham village, Illinois",BURNHAM PD,4233,0,0,0,11,20,81,11,0,13,6,0,0,0,19,4236,0,1,1,2,25,79,17,0,19,8,0,0,0,27,31.30016051364366,0.9870416751419872,33,82,35,108,50,138
"Burr Ridge village, Illinois",BURR RIDGE PD (MCA),10809,0,1,0,1,12,67,11,0,37,14,33,0,0,84,10794,0,0,1,2,26,72,4,0,41,8,34,0,1,84,30.62121212121212,0.7574998382511602,30,42,18,66,21,89
"Calumet City city, Illinois",CALUMET CITY PD,37248,4,22,118,84,273,1211,152,9,30,71,0,0,0,101,37281,3,27,101,61,294,1087,179,3,71,48,0,0,0,119,31.422937316766717,0.8761056140133541,35,77,37,122,50,149
"Calumet Park village, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.797061524334254,0.5185396802521267,26,47,28,72,37,102
"Campton Hills village, Illinois",CAMPTON HILLS PD,11366,0,2,0,2,15,20,1,0,0,0,0,0,0,0,11351,0,0,0,2,9,23,2,1,0,0,0,0,0,0,33.859306862520086,0.32850989867866826,69,,68,,48,
"Carol Stream village, Illinois",CAROL STREAM PD,40499,0,7,25,28,50,321,13,3,268,51,144,0,0,463,40536,0,4,11,29,60,304,19,3,247,36,157,1,0,441,29.046026841304247,1.0228071308533095,48,118,46,136,33,144
"Carpentersville village, Illinois",CARPENTERSVILLE PD,38571,0,4,22,8,80,464,8,1,134,19,44,0,0,197,38363,1,6,16,10,91,494,4,1,191,45,86,3,0,325,31.385743029606207,1.0560019454461567,57,149,61,166,32,140
"Cary village, Illinois",CARY PD,17919,0,4,0,7,33,79,0,2,28,11,33,0,0,72,17961,0,7,2,9,11,108,0,2,24,8,27,0,0,59,37.2445620223398,0.5391847408245025,67,105,71,120,42,77
"Channahon village, Illinois",CHANNAHON PD (MCA),12625,0,0,2,2,5,42,2,0,66,5,29,0,1,101,12605,0,0,2,2,4,56,1,0,45,11,44,3,0,103,30.356292517006803,0.2820682675774581,58,,46,,50,
"Chicago Heights city, Illinois",CHICAGO HEIGHTS PD,30461,0,22,105,56,125,666,70,25,121,93,38,1,0,253,30456,7,33,120,39,200,639,76,28,182,69,37,2,0,290,26.43426294820717,1.1587399195016976,42,98,45,118,50,147
"Chicago Ridge village, Illinois",CHICAGO RIDGE PD,14463,0,2,8,4,46,442,16,3,106,68,29,0,0,203,14482,0,4,13,5,35,500,49,1,77,40,3,0,0,120,32.23655409631019,0.8725911877317328,39,59,20,38,31,102
"Chicago city, Illinois",UNIVERSITY OF ILLINOIS AT CHICAGO PD,2728695,478,1439,9662,13105,13169,57469,10225,809,15301,14026,1385,71,46,30829,2724121,416,1392,9825,12543,14593,61630,10003,858,19003,15751,1610,75,48,36487,33.71749035562199,1.280697130721048,2,5,18,6,24,40
"Cicero town, Illinois",MORTON COLLEGE PD,84375,2,14,86,91,365,1099,198,23,993,386,447,52,1,1879,84147,2,22,144,156,387,1190,246,21,772,221,270,27,0,1290,30.768862562077423,0.46763817599962315,19,50,13,28,30,82
"Clarendon Hills village, Illinois",CLARENDON HILLS PD,8714,0,0,0,1,4,47,2,2,9,1,1,0,0,11,8684,0,0,0,3,3,11,1,0,13,1,2,0,0,16,29.836089353060633,0.645912194748576,34,66,28,61,21,106
"Coal City village, Illinois",COAL CITY PD (MCA),5505,0,0,0,4,4,63,1,1,6,0,3,1,0,10,5524,0,0,2,3,9,69,0,1,8,2,10,1,0,21,27.391563867886987,0.29921865054331176,73,,61,,65,
"Country Club Hills city, Illinois",COUNTRY CLUB HILLS PD,16944,1,7,18,28,59,357,31,0,80,12,9,0,0,101,16969,1,12,24,21,86,509,33,0,30,3,5,0,0,38,37.615072554220625,0.6418731010247181,36,87,36,97,40,162
"Countryside city, Illinois",COUNTRYSIDE PD,6045,0,0,0,1,8,167,6,0,28,1,13,0,0,42,5972,0,1,1,8,18,191,8,0,19,4,19,0,0,42,26.236559139784948,0.713946815807195,30,89,18,65,25,131
"Crest Hill city, Illinois",CREST HILL PD,20748,1,6,12,11,92,163,14,5,16,5,10,0,0,31,20763,0,7,15,18,54,163,7,4,29,3,25,0,0,57,32.47484159522922,1.1665240562483172,55,122,42,97,46,168
"Crestwood village, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.411667012663482,0.5729810084847352,38,77,25,37,31,128
"Crete village, Illinois",CRETE PD,8211,0,4,4,6,27,106,5,1,72,7,53,0,0,132,8216,0,0,1,4,28,104,4,2,36,6,34,1,0,77,29.50879007238883,0.8173312319664924,48,,50,,56,
"Crystal Lake city, Illinois",MCHENRY CO COLLEGE PD,40426,0,9,7,45,49,707,9,0,120,41,161,0,0,322,40294,0,7,4,41,58,774,15,4,112,28,126,0,1,267,31.927589506017423,0.5817122669200663,72,113,76,128,48,85
"Darien city, Illinois",DARIEN PD,22367,0,2,4,5,30,308,6,1,35,7,17,0,0,59,22423,1,2,3,8,42,278,10,3,32,7,25,1,0,65,29.548683042320214,0.7402755644733001,34,114,22,109,25,154
"Deer Park village, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.803703703703704,0.41303995141398087,51,,54,,27,
"Deerfield village, Illinois",DEERFIELD PD (MCA),18418,0,0,2,6,23,93,7,0,28,1,4,0,0,33,18309,0,0,1,6,21,105,3,1,26,6,5,0,0,37,27.921995694567556,0.3951520076372299,41,71,51,93,19,59
"Des Plaines city, Illinois",OAKTON COMMUNITY COLLEGE PD,59078,0,5,12,33,95,521,32,5,195,61,117,6,5,384,59041,0,8,11,34,129,584,18,2,89,65,34,0,1,189,28.023353524036274,0.9270382121310401,33,73,39,97,8,33
"Diamond village, Illinois",DIAMOND PD (MCA),2495,0,0,0,0,0,36,0,0,0,4,4,4,0,12,2497,0,0,0,0,0,62,0,0,0,0,0,0,0,0,25.438356164383563,0.5857704137942659,67,,55,,58,
"Dixmoor village, Illinois",DIXMOOR PD,3616,,,,,,,,,,,,,,,3591,1,2,2,8,18,60,8,0,0,1,0,0,0,1,29.22360248447205,0.9882103705759381,30,84,32,80,37,146
